'valeur', 'N', 'N/2', 'racine de N'
22091, 0.000141, 0.000070, 0.000005
22291, 0.000431, 0.000085, 0.000003
22491, 0.000001, 0.000000, 0.000001
22691, 0.000260, 0.000167, 0.000002
22891, 0.000001, 0.000002, 0.000001
23091, 0.000001, 0.000001, 0.000001
23291, 0.000177, 0.000177, 0.000003
23491, 0.000001, 0.000002, 0.000001
23691, 0.000001, 0.000001, 0.000001
23891, 0.000001, 0.000001, 0.000001
24091, 0.000206, 0.000224, 0.000003
24291, 0.000002, 0.000001, 0.000001
24491, 0.000001, 0.000001, 0.000001
24691, 0.000328, 0.000115, 0.000002
24891, 0.000002, 0.000001, 0.000002
25091, 0.000002, 0.000002, 0.000001
25291, 0.000001, 0.000000, 0.000002
25491, 0.000001, 0.000000, 0.000001
25691, 0.000001, 0.000001, 0.000002
25891, 0.000001, 0.000001, 0.000001
26091, 0.000001, 0.000001, 0.000001
26291, 0.000001, 0.000002, 0.000001
26491, 0.000002, 0.000002, 0.000002
26691, 0.000001, 0.000002, 0.000001
26891, 0.000185, 0.000106, 0.000002
27091, 0.000368, 0.000108, 0.000003
27291, 0.000001, 0.000001, 0.000001
27491, 0.000001, 0.000001, 0.000001
27691, 0.000239, 0.000109, 0.000003
27891, 0.000001, 0.000001, 0.000001
28091, 0.000001, 0.000001, 0.000000
28291, 0.000001, 0.000001, 0.000001
28491, 0.000001, 0.000001, 0.000001
28691, 0.000001, 0.000001, 0.000001
28891, 0.000002, 0.000003, 0.000003
29091, 0.000001, 0.000001, 0.000001
29291, 0.000001, 0.000001, 0.000001
29491, 0.000001, 0.000001, 0.000001
29691, 0.000001, 0.000001, 0.000001
29891, 0.000002, 0.000001, 0.000002
30091, 0.000199, 0.000114, 0.000002
30291, 0.000002, 0.000001, 0.000001
30491, 0.000239, 0.000165, 0.000003
30691, 0.000002, 0.000001, 0.000002
30891, 0.000001, 0.000001, 0.000001
31091, 0.000239, 0.000132, 0.000004
31291, 0.000002, 0.000001, 0.000001
31491, 0.000001, 0.000001, 0.000001
31691, 0.000001, 0.000001, 0.000001
31891, 0.000296, 0.000236, 0.000003
32091, 0.000001, 0.000001, 0.000000
32291, 0.000001, 0.000001, 0.000001
32491, 0.000297, 0.000125, 0.000003
32691, 0.000001, 0.000001, 0.000001
32891, 0.000002, 0.000002, 0.000001
33091, 0.000260, 0.000129, 0.000003
33291, 0.000002, 0.000001, 0.000002
33491, 0.000002, 0.000002, 0.000003
33691, 0.000001, 0.000001, 0.000001
33891, 0.000001, 0.000000, 0.000001
34091, 0.000002, 0.000004, 0.000001
34291, 0.000001, 0.000001, 0.000001
34491, 0.000001, 0.000001, 0.000001
34691, 0.000004, 0.000001, 0.000002
34891, 0.000001, 0.000001, 0.000001
35091, 0.000000, 0.000001, 0.000001
35291, 0.000245, 0.000143, 0.000002
35491, 0.000251, 0.000124, 0.000003
35691, 0.000001, 0.000001, 0.000001
35891, 0.000001, 0.000001, 0.000001
36091, 0.000001, 0.000001, 0.000001
36291, 0.000001, 0.000000, 0.000001
36491, 0.000001, 0.000001, 0.000001
36691, 0.000234, 0.000117, 0.000003
36891, 0.000001, 0.000001, 0.000001
37091, 0.000001, 0.000001, 0.000001
37291, 0.000001, 0.000003, 0.000001
37491, 0.000068, 0.000001, 0.000002
37691, 0.000241, 0.000120, 0.000002
37891, 0.000001, 0.000001, 0.000000
38091, 0.000001, 0.000001, 0.000001
38291, 0.000001, 0.000001, 0.000001
38491, 0.000001, 0.000001, 0.000001
38691, 0.000001, 0.000001, 0.000001
38891, 0.000237, 0.000123, 0.000002
39091, 0.000001, 0.000001, 0.000001
39291, 0.000001, 0.000000, 0.000001
39491, 0.000001, 0.000001, 0.000001
39691, 0.000001, 0.000001, 0.000001
39891, 0.000001, 0.000001, 0.000001
40091, 0.000002, 0.000002, 0.000001
40291, 0.000001, 0.000001, 0.000001
40491, 0.000001, 0.000001, 0.000001
40691, 0.000000, 0.000001, 0.000001
