valeur, O(N), O(1)
22091, 0.000069, 0.000000
22291, 0.000070, 0.000000
22491, 0.000070, 0.000000
22691, 0.000071, 0.000000
22891, 0.000071, 0.000001
23091, 0.000072, 0.000001
23291, 0.000066, 0.000001
23491, 0.000053, 0.000000
23691, 0.000054, 0.000001
23891, 0.000054, 0.000000
24091, 0.000054, 0.000001
24291, 0.000055, 0.000001
24491, 0.000070, 0.000000
24691, 0.000061, 0.000001
24891, 0.000076, 0.000001
25091, 0.000062, 0.000001
25291, 0.000055, 0.000000
25491, 0.000056, 0.000001
25691, 0.000066, 0.000000
25891, 0.000060, 0.000000
26091, 0.000058, 0.000000
26291, 0.000057, 0.000001
26491, 0.000057, 0.000000
26691, 0.000058, 0.000001
26891, 0.000059, 0.000001
27091, 0.000063, 0.000000
27291, 0.000060, 0.000001
27491, 0.000060, 0.000001
27691, 0.000061, 0.000001
27891, 0.000061, 0.000000
28091, 0.000063, 0.000000
28291, 0.000062, 0.000001
28491, 0.000063, 0.000001
28691, 0.000063, 0.000000
28891, 0.000066, 0.000000
29091, 0.000065, 0.000000
29291, 0.000070, 0.000001
29491, 0.000070, 0.000001
29691, 0.000071, 0.000001
29891, 0.000071, 0.000000
30091, 0.000068, 0.000001
30291, 0.000066, 0.000001
30491, 0.000066, 0.000000
30691, 0.000067, 0.000000
30891, 0.000067, 0.000000
31091, 0.000068, 0.000001
31291, 0.000069, 0.000001
31491, 0.000069, 0.000000
31691, 0.000070, 0.000001
31891, 0.000071, 0.000000
32091, 0.000070, 0.000000
32291, 0.000071, 0.000001
32491, 0.000071, 0.000000
32691, 0.000073, 0.000001
32891, 0.000072, 0.000001
33091, 0.000072, 0.000000
33291, 0.000073, 0.000000
33491, 0.000074, 0.000001
33691, 0.000073, 0.000000
33891, 0.000074, 0.000000
34091, 0.000074, 0.000000
34291, 0.000075, 0.000000
34491, 0.000075, 0.000000
34691, 0.000075, 0.000000
34891, 0.000076, 0.000000
35091, 0.000077, 0.000001
35291, 0.000077, 0.000000
35491, 0.000077, 0.000000
35691, 0.000078, 0.000000
35891, 0.000078, 0.000000
36091, 0.000079, 0.000000
36291, 0.000079, 0.000000
36491, 0.000080, 0.000001
36691, 0.000080, 0.000000
36891, 0.000080, 0.000000
37091, 0.000081, 0.000001
37291, 0.000082, 0.000000
37491, 0.000080, 0.000000
37691, 0.000081, 0.000000
37891, 0.000101, 0.000001
38091, 0.000089, 0.000000
38291, 0.000082, 0.000000
38491, 0.000085, 0.000001
38691, 0.000235, 0.000002
38891, 0.000172, 0.000001
39091, 0.000346, 0.000001
39291, 0.000213, 0.000001
39491, 0.000188, 0.000001
39691, 0.000176, 0.000001
39891, 0.000243, 0.000001
40091, 0.000141, 0.000001
40291, 0.000208, 0.000001
40491, 0.000553, 0.000001
40691, 0.000152, 0.000001
40891, 0.000187, 0.000001
41091, 0.000149, 0.000001
41291, 0.000142, 0.000001
41491, 0.000143, 0.000003
41691, 0.000172, 0.000001
41891, 0.000248, 0.000001
42091, 0.000137, 0.000001
42291, 0.000108, 0.000001
42491, 0.000137, 0.000001
42691, 0.000106, 0.000000
42891, 0.000108, 0.000001
43091, 0.000128, 0.000001
43291, 0.000107, 0.000001
43491, 0.000099, 0.000001
43691, 0.000098, 0.000000
43891, 0.000102, 0.000000
44091, 0.000100, 0.000001
44291, 0.000139, 0.000000
44491, 0.000109, 0.000000
44691, 0.000101, 0.000000
44891, 0.000120, 0.000000
45091, 0.000111, 0.000001
45291, 0.000102, 0.000000
45491, 0.000176, 0.000001
45691, 0.000106, 0.000000
45891, 0.000104, 0.000001
46091, 0.000124, 0.000001
46291, 0.000114, 0.000000
46491, 0.000105, 0.000001
46691, 0.000108, 0.000000
46891, 0.000119, 0.000001
47091, 0.000112, 0.000001
47291, 0.000115, 0.000001
47491, 0.000110, 0.000001
47691, 0.000144, 0.000001
47891, 0.000121, 0.000001
48091, 0.000115, 0.000001
48291, 0.000115, 0.000001
48491, 0.000151, 0.000000
48691, 0.000143, 0.000000
48891, 0.000116, 0.000000
49091, 0.000113, 0.000000
49291, 0.000136, 0.000000
49491, 0.000124, 0.000000
49691, 0.000115, 0.000001
49891, 0.000136, 0.000001
50091, 0.000126, 0.000000
50291, 0.000116, 0.000000
50491, 0.000120, 0.000001
50691, 0.000117, 0.000000
50891, 0.000118, 0.000001
51091, 0.000132, 0.000001
51291, 0.000115, 0.000000
51491, 0.000135, 0.000000
51691, 0.000119, 0.000000
51891, 0.000117, 0.000000
52091, 0.000121, 0.000000
52291, 0.000118, 0.000001
52491, 0.000135, 0.000001
52691, 0.000133, 0.000001
52891, 0.000116, 0.000000
53091, 0.000120, 0.000001
53291, 0.000117, 0.000001
53491, 0.000115, 0.000000
53691, 0.000192, 0.000001
53891, 0.000215, 0.000001
54091, 0.000207, 0.000001
54291, 0.000206, 0.000001
54491, 0.000207, 0.000000
54691, 0.000270, 0.000001
54891, 0.000203, 0.000001
55091, 0.000183, 0.000001
55291, 0.000244, 0.000001
55491, 0.000200, 0.000001
55691, 0.000157, 0.000000
55891, 0.000162, 0.000001
56091, 0.000181, 0.000001
56291, 0.000154, 0.000000
56491, 0.000155, 0.000001
56691, 0.000157, 0.000000
56891, 0.000125, 0.000000
57091, 0.000127, 0.000001
57291, 0.000126, 0.000000
57491, 0.000127, 0.000001
57691, 0.000127, 0.000000
57891, 0.000128, 0.000001
58091, 0.000129, 0.000001
58291, 0.000159, 0.000000
58491, 0.000141, 0.000001
58691, 0.000133, 0.000001
58891, 0.000132, 0.000001
59091, 0.000129, 0.000001
59291, 0.000139, 0.000000
59491, 0.000133, 0.000000
59691, 0.000136, 0.000001
59891, 0.000170, 0.000000
